"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2507","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:36:37,FALSE,NA,"880193244289740800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","algo_trading",66,TRUE,FALSE,NA,NA
"2508","Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/ilHfF9X2fk https://t.co/J9D8RtzspE",FALSE,0,NA,2017-06-28 22:36:36,FALSE,NA,"880193242381340673",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","EBertolaccini",0,FALSE,FALSE,NA,NA
"2509","Buffett's Berkshire on verge of becoming BofA's top shareholder https://t.co/1xMhtfGK4R",FALSE,0,NA,2017-06-28 22:36:34,FALSE,NA,"880193231325192192",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","INFOCELLNYC",0,FALSE,FALSE,NA,NA
"2510","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:36:33,FALSE,NA,"880193230012383232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ddoublee",66,TRUE,FALSE,NA,NA
"2511","RT Reuters ""Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/vKIjM3QPqg https://t.co/ymdOUPkCmQ""",FALSE,0,NA,2017-06-28 22:36:22,FALSE,NA,"880193180980916224",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","milou1st",0,FALSE,FALSE,NA,NA
"2512","Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/KyD9DKU2Kh https://t.co/NhiSvEQfNb",FALSE,0,NA,2017-06-28 22:35:36,FALSE,NA,"880192989800402944",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LloydZiel",0,FALSE,FALSE,NA,NA
"2513","Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/LJyLcj9VxE https://t.co/micONAV73l Reuters",FALSE,0,NA,2017-06-28 22:35:23,FALSE,NA,"880192934729191424",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","AbbiejAbbieja",0,FALSE,FALSE,NA,NA
"2514","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:35:09,FALSE,NA,"880192877346816000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","georgestategov",66,TRUE,FALSE,NA,NA
"2515","Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,41,NA,2017-06-28 22:35:03,FALSE,NA,"880192852554395649",NA,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","Reuters",66,FALSE,FALSE,NA,NA
"2516","RT @Vikings: Lightweight?!

<ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>

https://t.co/J9kSbIcoK7 https://t.co/DCa8EjS7gZ",FALSE,0,NA,2017-06-28 22:34:49,FALSE,NA,"880192792344928256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","J_Craddock1",123,TRUE,FALSE,NA,NA
